X_features	Y_features	association	p-values	q-values
Bacteroides_sp_OM05_12	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	-0.12312573916846208	0.21994676935454782	0.5874893970917527
Bacteroides_sp_OM05_12	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.027223391778349728	0.7869784591161862	0.9425169746347245
Bacteroides_sp_OM05_12	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.04861042962131251	0.629285004778223	0.8995037153350233
Bacteroides_sp_OM05_12	FASYN-ELONG-PWY: fatty acid elongation -- saturated	-0.13400346195169155	0.18155275984345595	0.5154574859891127
Bacteroides_sp_OM05_12	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.050181009916217295	0.6182375584118859	0.8909572301823262
Bacteroides_sp_OM05_12	FUCCAT-PWY: fucose degradation	0.1766999781168811	0.07712013330850287	0.3426100945605902
Bacteroides_sp_OM05_12	GALACTARDEG-PWY: D-galactarate degradation I	-0.07255714293932926	0.47086952079991873	0.8066372381635738
Bacteroides_sp_OM05_12	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	-0.07255714293932926	0.47086952079991873	0.8066372381635738
Bacteroides_sp_OM05_12	HISTSYN-PWY: L-histidine biosynthesis	0.004750520645082396	0.9623951589005741	0.9990481376524966
Bacteroides_sp_OM05_12	NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0.000368408796324761	0.9970826400784947	0.9990481376524966
Bacteroides_sp_OM05_12	NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.08161200569449716	0.4171727385830938	0.7733887299759639
Bacteroides_sp_OM05_12	P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	-0.06747479989738056	0.5025790357050721	0.8294597093343873
Bacteroides_sp_OM05_12	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.08481133592485876	0.39908598355264946	0.7626983469776544
Bacteroides_sp_OM05_12	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	-0.027824478064054026	0.7823903439585584	0.9425169746347245
Bacteroides_sp_OM05_12	PWY-2942: L-lysine biosynthesis III	0.018265267133337208	0.856136891385743	0.9775478646502141
Bacteroides_sp_OM05_12	PWY-4242	0.04512025118819075	0.654126528135939	0.9037266512364129
Bacteroides_sp_OM05_12	PWY-5097: L-lysine biosynthesis VI	0.024722097234612463	0.806147562028366	0.9529882038964606
Bacteroides_sp_OM05_12	PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	-0.004944477041632326	0.9608610010059995	0.9990481376524966
Bacteroides_sp_OM05_12	PWY-5686: UMP biosynthesis I	0.006456830101275256	0.9489039069089993	0.9990481376524966
Bacteroides_sp_OM05_12	PWY-5690: TCA cycle II (plants and fungi)	0.18098514163754725	0.07010577132780191	0.3294331464715098
Bacteroides_sp_OM05_12	PWY-5723: Rubisco shunt	-0.12156343880158657	0.22590016371863045	0.5971261099938674
Bacteroides_sp_OM05_12	PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	-0.053516225150333704	0.5950598739570979	0.8796438520901284
Bacteroides_sp_OM05_12	PWY-5838: superpathway of menaquinol-8 biosynthesis I	-0.04017594873604762	0.6899678818068218	0.9206594621901171
Bacteroides_sp_OM05_12	PWY-5840: superpathway of menaquinol-7 biosynthesis	-0.0559026525107009	0.578719480898255	0.872696580668382
Bacteroides_sp_OM05_12	PWY-5845: superpathway of menaquinol-9 biosynthesis	-0.07769615492478717	0.4399451462953139	0.779990084698242
Bacteroides_sp_OM05_12	PWY-5850: superpathway of menaquinol-6 biosynthesis	-0.0853472070842961	0.3961026589255602	0.7626983469776544
Bacteroides_sp_OM05_12	PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	-0.08645611768466192	0.3899713584447748	0.7626983469776544
Bacteroides_sp_OM05_12	PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	-0.043549797712916484	0.6654307301572276	0.9127191771751163
Bacteroides_sp_OM05_12	PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	-0.07564080368395178	0.4521734802426365	0.7852183609831941
Bacteroides_sp_OM05_12	PWY-5896: superpathway of menaquinol-10 biosynthesis	-0.082370657578051	0.4128413666102727	0.7688697011182143
Bacteroides_sp_OM05_12	PWY-5897: superpathway of menaquinol-11 biosynthesis	-0.0407382568988591	0.6858551466113223	0.9190006254923988
Bacteroides_sp_OM05_12	PWY-5898: superpathway of menaquinol-12 biosynthesis	-0.0407382568988591	0.6858551466113223	0.9190006254923988
Bacteroides_sp_OM05_12	PWY-5899: superpathway of menaquinol-13 biosynthesis	-0.0407382568988591	0.6858551466113223	0.9190006254923988
Bacteroides_sp_OM05_12	PWY-5989: stearate biosynthesis II (bacteria and plants)	-0.13097864064298603	0.1916999571304683	0.5330834424313022
Bacteroides_sp_OM05_12	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	-0.1372027921820532	0.17125333425822745	0.49311243765134993
Bacteroides_sp_OM05_12	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.10900990639450295	0.27786094075815665	0.6527663310146511
